pick1,pick2,pick3,pick4,pick5,result,poke_avg,cc_avg,mobilidade_avg,tipo_predito
Taliyah,Vi,Ornn,Lucian,Nami,0,0.5039999999999999,0.6,0.8019999999999999, POKE
Sion,Pantheon,Sylas,Renata Glasc,Kalista,1,0.45600000000000007,0.6,0.8099999999999999,PEEL
Ryze,Lee Sin,Yorick,Xayah,Rakan,1,0.508,0.8,0.8299999999999998,PEEL
Xin Zhao,Akali,Jax,Corki,Nautilus,0,0.40599999999999997,0.4,0.8239999999999998, DPS
Gwen,Sejuani,Tristana,Jhin,Rell,0,0.5660000000000001,0.6,0.782, POKE
Miss Fortune,Azir,Poppy,Gragas,Alistar,1,0.556,0.8,0.78, POKE
Rumble,Braum,Senna,Diana,Viego,0,0.512,0.6,0.78, POKE
Ezreal,Ahri,Karma,Wukong,Aatrox,1,0.5740000000000001,0.8,0.868,FRONT2BACK
Neeko,Poppy,Kalista,Ambessa,Galio,1,0.504,0.8,0.7939999999999999, POKE
Rumble,Pantheon,Orianna,Jhin,Leona,0,0.5399999999999999,0.6,0.7719999999999999, POKE
Annie,Sion,Lee Sin,Senna,Nautilus,0,0.466,1.0,0.756, SIEGE
Yorick,Wukong,Sylas,Ezreal,Rell,1,0.42200000000000004,0.8,0.826,PEEL
Jayce,Ashe,Renata Glasc,Skarner,Ryze,0,0.62,0.8,0.758, BURST
Xayah,Rakan,Renekton,Ahri,Xin Zhao,1,0.518,0.8,0.8720000000000001,TEAMFIGHT
Azir,Skarner,Gwen,Nautilus,Tristana,0,0.5720000000000001,0.8,0.774, POKE
Taliyah,Xin Zhao,Ambessa,Senna,Alistar,1,0.514,0.8,0.806, POKE
Rumble,Nocturne,Orianna,Ezreal,Braum,1,0.55,0.6,0.7979999999999999, POKE
Jayce,Viktor,Wukong,Rell,Kai'Sa,0,0.5720000000000001,0.6,0.808, POKE
Vi,Zeri,Lulu,Aurora,Sion,1,0.504,0.8,0.8140000000000001,PEEL
Lucian,Nami,Poppy,Renekton,Hwei,0,0.472,0.8,0.8099999999999999,PEEL
Varus,Leona,Annie,Trundle,Aatrox,0,0.47000000000000003,0.8,0.768, SIEGE
Neeko,Kalista,Ahri,Lee Sin,Ornn,1,0.536,0.8,0.8240000000000001,PEEL
Taliyah,Xin Zhao,Ornn,Kalista,Renata Glasc,1,0.5039999999999999,0.6,0.798, POKE
Varus,Rumble,Azir,Skarner,Gwen,0,0.646,0.8,0.758, POKE
Neeko,Maokai,Jayce,Sivir,Aatrox,1,0.588,0.6,0.78, POKE
Pantheon,Kai'Sa,Sion,Rakan,Viktor,0,0.504,0.6,0.8140000000000001,PEEL
Vi,Ziggs,Renekton,Senna,Nautilus,1,0.526,0.8,0.778, POKE
Ezreal,Ahri,K'Sante,Viego,Leona,0,0.48200000000000004,0.6,0.8300000000000001,PEEL
Lucian,Milio,Gnar,Corki,Lillia,0,0.614,0.6,0.8200000000000001,PEEL
Sejuani,Aphelios,Lulu,Sylas,Tristana,1,0.528,0.6,0.8160000000000001,PEEL
Neeko,Poppy,Kalista,Annie,Yorick,1,0.518,0.8,0.768, SIEGE
Rumble,Leona,Jhin,Ryze,Viego,0,0.55,0.6,0.782, POKE
Pantheon,Ahri,Ezreal,Rell,K'Sante,0,0.472,0.6,0.82,PEEL
Sion,Azir,Kai'Sa,Wukong,Alistar,1,0.514,0.8,0.8140000000000001,PEEL
Gwen,Naafiri,Orianna,Ashe,Braum,0,0.556,0.8,0.7759999999999999, POKE
Miss Fortune,Nidalee,Xin Zhao,LeBlanc,Bard,1,0.55,0.4,0.8440000000000001, SPLIT
Pantheon,Varus,Ahri,Renekton,Alistar,1,0.47000000000000003,0.6,0.826,PEEL
Ryze,Yorick,Xin Zhao,Ezreal,Braum,0,0.47000000000000003,0.8,0.798, PEEL
Taliyah,Xayah,Rakan,Trundle,K'Sante,1,0.496,0.6,0.808, POKE
Sion,Vi,Annie,Zeri,Lulu,0,0.5040000000000001,0.8,0.8, POKE
Jayce,Azir,Poppy,Lucian,Leona,1,0.614,0.6,0.79, POKE
Nidalee,Miss Fortune,Skarner,Rell,LeBlanc,0,0.48600000000000004,0.4,0.8, BURST
Rumble,Kai'Sa,Wukong,Galio,Sett,1,0.48,0.8,0.826,PEEL
Nautilus,Ornn,Naafiri,Tristana,Mel,0,0.472,0.6,0.792, PEEL
Sejuani,Ambessa,Aurora,Sivir,Bard,1,0.5459999999999999,0.8,0.7879999999999999, POKE
Jax,Jhin,Viktor,Jarvan IV,Renata Glasc,0,0.522,0.6,0.7939999999999999, POKE
Taliyah,Varus,Nautilus,Sion,Pantheon,0,0.45599999999999996,0.4,0.76, TEAMFIGHT
Lucian,Sejuani,Nami,Sylas,Olaf,1,0.44400000000000006,0.6,0.8240000000000001,PEEL
Azir,Trundle,Ambessa,Smolder,Braum,1,0.454,1.0,0.7859999999999999, PEEL
Xin Zhao,Rell,Renekton,Senna,Ziggs,0,0.526,0.8,0.7839999999999999, POKE
Yone,Lillia,Miss Fortune,Rakan,K'Sante,1,0.476,0.6,0.834,FLEX
Annie,Naafiri,Ezreal,Leona,Gnar,0,0.502,0.6,0.79, POKE
Rumble,Maokai,Tristana,Jhin,Gragas,1,0.6140000000000001,0.6,0.776, POKE
Ahri,Wukong,Alistar,Ashe,Nidalee,0,0.552,0.8,0.836,FLEX
