pick1,pick2,pick3,pick4,pick5,result,league,atakhans,opp_atakhans,golddiffat25,golddiffat20,golddiffat15,golddiffat10,firstmidtower,firstherald,dragons,opp_dragons,void_grubs,opp_void_grubs
Vi,Kai'Sa,Ahri,Rakan,Zac,0,LCP,0.0,1.0,839.0,-70.0,1135.0,1007.0,1.0,1.0,0.0,4.0,1.0,2.0
Xin Zhao,Sion,Ryze,Miss Fortune,Alistar,1,LCP,1.0,0.0,-839.0,70.0,-1135.0,-1007.0,0.0,0.0,4.0,0.0,2.0,1.0
Naafiri,Taliyah,Ezreal,Braum,Ornn,1,LCP,1.0,0.0,-615.0,-181.0,-1480.0,-1158.0,1.0,1.0,4.0,1.0,2.0,1.0
Azir,Pantheon,Jayce,Rell,Hwei,0,LCP,0.0,1.0,615.0,181.0,1480.0,1158.0,0.0,0.0,1.0,4.0,1.0,2.0
Rumble,Jhin,Wukong,Elise,Sylas,0,LCP,0.0,1.0,-4344.0,-1450.0,-921.0,568.0,0.0,0.0,3.0,2.0,3.0,0.0
Skarner,Ambessa,Aurora,Zeri,Lulu,1,LCP,1.0,0.0,4344.0,1450.0,921.0,-568.0,1.0,1.0,2.0,3.0,0.0,3.0
Vi,Miss Fortune,Neeko,Taliyah,Aatrox,0,LCP,0.0,1.0,-3523.0,-1139.0,841.0,274.0,0.0,0.0,1.0,2.0,2.0,1.0
Xin Zhao,Viktor,Gragas,Rell,Jhin,1,LCP,1.0,0.0,3523.0,1139.0,-841.0,-274.0,1.0,1.0,2.0,1.0,1.0,2.0
Varus,Sejuani,Renata Glasc,Hwei,Jax,0,LCP,0.0,1.0,33.0,-679.0,-1738.0,-271.0,0.0,1.0,1.0,4.0,3.0,0.0
Skarner,Lucian,Nami,Ryze,Gnar,1,LCP,1.0,0.0,-33.0,679.0,1738.0,271.0,1.0,0.0,4.0,1.0,0.0,3.0
Taliyah,Pantheon,Gwen,Kai'Sa,Rell,1,LEC,1.0,0.0,4.0,-808.0,-39.0,-329.0,0.0,1.0,4.0,3.0,3.0,0.0
Rumble,Xin Zhao,Tristana,Jhin,Rakan,0,LEC,0.0,1.0,-4.0,808.0,39.0,329.0,1.0,0.0,3.0,4.0,0.0,3.0
Azir,Ashe,Braum,Sion,Pantheon,0,LTA S,0.0,1.0,-4286.0,-1842.0,-1978.0,-174.0,0.0,0.0,1.0,3.0,1.0,2.0
