blue1,blue2,blue3,blue4,blue5,red1,red2,red3,red4,red5,result,league,atakhans,opp_atakhans,golddiffat25,golddiffat20,golddiffat15,golddiffat10,firstmidtower,firstherald,dragons,opp_dragons,void_grubs,opp_void_grubs
Vi,Kai'Sa,Ahri,Rakan,Zac,Xin Zhao,Sion,Ryze,Miss Fortune,Alistar,0,LCP,0.0,1.0,839.0,-70.0,1135.0,1007.0,1.0,1.0,0.0,4.0,1.0,2.0
Naafiri,Taliyah,Ezreal,Braum,Ornn,Azir,Pantheon,Jayce,Rell,Hwei,1,LCP,1.0,0.0,-615.0,-181.0,-1480.0,-1158.0,1.0,1.0,4.0,1.0,2.0,1.0
Rumble,Jhin,Wukong,Elise,Sylas,Skarner,Ambessa,Aurora,Zeri,Lulu,0,LCP,0.0,1.0,-4344.0,-1450.0,-921.0,568.0,0.0,0.0,3.0,2.0,3.0,0.0
Vi,Miss Fortune,Neeko,Taliyah,Aatrox,Xin Zhao,Viktor,Gragas,Rell,Jhin,0,LCP,0.0,1.0,-3523.0,-1139.0,841.0,274.0,0.0,0.0,1.0,2.0,2.0,1.0
Varus,Sejuani,Renata Glasc,Hwei,Jax,Skarner,Lucian,Nami,Ryze,Gnar,0,LCP,0.0,1.0,33.0,-679.0,-1738.0,-271.0,0.0,1.0,1.0,4.0,3.0,0.0
Taliyah,Pantheon,Gwen,Kai'Sa,Rell,Rumble,Xin Zhao,Tristana,Jhin,Rakan,1,LEC,1.0,0.0,4.0,-808.0,-39.0,-329.0,0.0,1.0,4.0,3.0,3.0,0.0
Azir,Ashe,Braum,Sion,Pantheon,Miss Fortune,Xin Zhao,Taliyah,Rell,Camille,0,LTA S,0.0,1.0,-4286.0,-1842.0,-1978.0,-174.0,0.0,0.0,1.0,3.0,1.0,2.0
Vi,Sylas,Renekton,Zeri,Lulu,Sejuani,Ahri,Aatrox,Lucian,Nami,0,LTA S,0.0,1.0,703.0,663.0,-220.0,-386.0,0.0,0.0,2.0,4.0,2.0,1.0
Vi,Kalista,Aurelion Sol,Neeko,Gragas,Orianna,Varus,Nocturne,Shen,Alistar,1,LEC,0.0,1.0,-855.0,-1092.0,2031.0,852.0,0.0,0.0,3.0,2.0,3.0,0.0
Jayce,Xin Zhao,Ahri,Jhin,Alistar,Miss Fortune,Lillia,Sion,Corki,Rell,1,LTA S,1.0,0.0,2957.0,2254.0,361.0,628.0,1.0,1.0,2.0,2.0,3.0,0.0
Yone,Lillia,Miss Fortune,Poppy,Gnar,Azir,Sejuani,Jhin,Rell,Aatrox,1,LEC,1.0,0.0,1478.0,-774.0,827.0,54.0,1.0,0.0,2.0,2.0,3.0,0.0
Ashe,Skarner,Ryze,Nautilus,Renekton,Lucian,Sejuani,Nami,Zoe,Aatrox,1,LTA S,1.0,0.0,7041.0,3408.0,1591.0,796.0,1.0,1.0,2.0,3.0,1.0,2.0
